ward,AUSPICE,bldg_type,cwelcc_flag,TOTSPACE,subsidy
7,Commercial Agency,High Rise Apartment,1,145,1
7,Commercial Agency,High Rise Apartment,1,119,1
13,Non Profit Agency,Community/Recreation Centre,1,104,1
19,Non Profit Agency,Place of Worship,1,25,1
14,Non Profit Agency,Public Elementary School,1,159,1
14,Non Profit Agency,Public High School,1,49,1
14,Non Profit Agency,Public Elementary School,1,59,1
9,Non Profit Agency,Public (school closed),1,78,1
19,Non Profit Agency,Public Elementary School,0,116,1
14,Non Profit Agency,Public Elementary School,1,165,1
14,Non Profit Agency,Public Elementary School,1,164,1
16,Commercial Agency,Public Elementary School,1,229,1
16,Commercial Agency,Public Elementary School,1,130,1
12,Non Profit Agency,Public Elementary School,1,182,1
10,Non Profit Agency,Purpose Built,1,49,1
13,Non Profit Agency,Public Elementary School,1,182,1
4,Non Profit Agency,Public Elementary School,1,218,1
9,Commercial Agency,Purpose Built,1,106,1
4,Non Profit Agency,Public Elementary School,1,193,1
13,Non Profit Agency,Community College/University,1,34,1
9,Commercial Agency,House,1,75,1
10,Non Profit Agency,Community/Recreation Centre,1,49,1
12,Non Profit Agency,Community College/University,1,65,1
6,Other,Other,1,54,1
9,Other,Public Elementary School,1,54,1
10,Other,Low Rise Apartment,1,36,1
23,Other,Public Elementary School,1,54,1
17,Other,High Rise Apartment,1,32,1
1,Other,Purpose Built,1,42,1
14,Other,Community/Recreation Centre,1,49,1
1,Other,High Rise Apartment,1,36,1
21,Other,High Rise Apartment,1,30,1
7,Other,Purpose Built,1,52,1
7,Other,Public High School,1,36,1
20,Other,Public Elementary School,1,36,1
3,Other,Other,1,62,1
24,Other,High Rise Apartment,1,32,1
5,Other,Purpose Built,1,62,1
20,Other,Community/Recreation Centre,1,36,1
24,Other,Purpose Built,1,49,1
5,Other,Purpose Built,1,36,1
1,Other,Other,1,36,1
16,Other,Community/Recreation Centre,1,52,1
13,Other,Purpose Built,1,36,1
19,Other,Public Elementary School,1,16,1
19,Other,Community/Recreation Centre,1,46,1
7,Non Profit Agency,Public Elementary School,1,82,1
6,Non Profit Agency,Public Elementary School,1,54,1
9,Other,Community/Recreation Centre,1,36,1
19,Other,Other,1,26,1
11,Other,Public Elementary School,1,106,1
14,Other,Purpose Built,1,64,1
13,Non Profit Agency,Public Elementary School,1,158,1
13,Non Profit Agency,Community/Recreation Centre,1,65,1
17,Non Profit Agency,Community/Recreation Centre,1,78,1
9,Non Profit Agency,Community/Recreation Centre,1,85,1
13,Non Profit Agency,Community/Recreation Centre,1,144,1
3,Non Profit Agency,Public Elementary School,1,99,1
